Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-2529.732	-2747.164	217.4319	1.187479	2.171014	6.170681
6	-2536.818	-2753.651	216.8333	1.291787	1.827383	6.548518
12	-2537.209	-2756.221	219.0118	1.156813	1.77691	5.451104
18	-2530.112	-2750.101	219.9894	1.304368	2.149425	4.703719
24	-2539.719	-2760.127	220.4077	1.495096	2.359372	4.298024
30	-2537.951	-2758.446	220.4948	1.500725	2.184569	4.298024
36	-2536.293	-2756.01	219.7177	1.379158	2.17545	4.805709
42	-2545.156	-2765.778	220.6225	1.4258	1.193781	4.649267
48	-2543.192	-2762.659	219.4668	1.289291	2.012219	5.046778
54	-2544.748	-2762.447	217.6991	1.108831	1.592582	6.26273
60	-2534.229	-2753.774	219.5448	1.255323	1.991047	5.02919
66	-2534.683	-2752.84	218.1568	1.258778	2.251181	5.712264
72	-2528.117	-2746.994	218.8771	1.207103	1.912457	5.450921
78	-2522.883	-2742.313	219.43	1.22299	1.613332	5.244242
84	-2521.651	-2739.239	217.5881	1.018569	1.541796	6.391565
90	-2543.289	-2759.934	216.6452	1.093499	1.766171	6.778518
96	-2526.454	-2744.285	217.831	1.054896	1.648737	6.199261
102	-2531.907	-2751.658	219.7517	1.189312	2.466297	4.807955
108	-2527.958	-2747.771	219.8131	1.395862	1.728907	4.892495
114	-2534.054	-2754.032	219.9773	1.276888	1.987114	4.777656
120	-2532.657	-2754.502	221.8443	1.397445	2.177828	3.586258
126	-2544.939	-2762.665	217.7255	1.090274	1.940718	6.135807
132	-2536.21	-2754.209	217.9993	1.200054	2.549688	5.747586
138	-2541.343	-2760.859	219.5157	1.480812	2.549688	4.754098
144	-2535.234	-2752.925	217.6914	1.179596	2.509173	5.937933
150	-2528.839	-2747.024	218.1848	1.103006	1.653406	5.978589
156	-2542.912	-2761.773	218.8613	1.23755	1.673539	5.526964
162	-2541.421	-2760.682	219.2614	1.15783	1.625175	5.368764
168	-2533.321	-2752.561	219.2401	1.284544	2.244601	5.103103
174	-2533.558	-2751.441	217.8832	1.142168	1.795144	6.070697
180	-2541.109	-2760.644	219.5346	1.386034	2.820015	4.72629
186	-2545.353	-2764.49	219.1371	1.386034	2.331242	5.07859
192	-2551.733	-2772.431	220.698	1.3216	1.913553	4.372673
198	-2557.999	-2778.491	220.492	1.373281	1.861513	4.477672
204	-2526.74	-2746.833	220.0928	1.401343	2.273305	4.553749
210	-2530.514	-2750.606	220.092	1.401343	2.904341	4.383717
216	-2525.457	-2744.917	219.4603	1.343265	1.99305	5.02665
222	-2528.96	-2746.67	217.7091	1.267686	2.075402	6.005121
228	-2533.47	-2752.287	218.8177	1.166409	1.802893	5.543473
234	-2534.15	-2750.215	216.0649	1.095875	1.832152	7.067273
240	-2540.698	-2761.821	221.1235	1.332479	2.139568	4.0506
246	-2540.484	-2763.171	222.6871	1.549114	2.187798	2.996456
252	-2537.094	-2756.625	219.5311	1.376997	2.301395	4.873254
258	-2537.034	-2758.733	221.6985	1.398827	2.216809	3.657712
264	-2534.279	-2756.584	222.3055	1.5443	2.216809	3.217358
270	-2529.015	-2748.949	219.9333	1.254922	1.867336	4.854833
276	-2535.342	-2756.547	221.2045	1.386555	2.088289	3.989884
282	-2529.344	-2748.622	219.2782	1.522561	2.423809	4.897999
288	-2530.485	-2753.028	222.5434	1.630139	1.827719	3.159804
294	-2523.639	-2744.389	220.7505	1.545428	2.290546	4.095249
300	-2529.088	-2748.537	219.4483	1.499114	2.399813	4.822982
306	-2529.134	-2749.628	220.4942	1.551182	2.096233	4.297652
312	-2538.315	-2758.339	220.0241	1.503188	2.144278	4.574451
318	-2541.107	-2761.74	220.6338	1.362538	2.119783	4.317898
324	-2531.017	-2752.268	221.251	1.474581	1.764659	4.024921
330	-2533.951	-2756.102	222.1505	1.585636	1.935536	3.378877
336	-2522.262	-2744.168	221.9061	1.539552	2.015828	3.520915
342	-2528.366	-2748.985	220.6187	1.420312	2.015828	4.327331
348	-2535.676	-2758.058	222.3822	1.532398	2.033768	3.23959
354	-2546.276	-2766.607	220.3307	1.295504	2.07949	4.53934
360	-2550.109	-2768.406	218.2976	1.129386	2.460636	5.646772
366	-2550.415	-2769.797	219.382	1.178982	2.460636	5.021073
372	-2537.05	-2757.728	220.6772	1.451789	2.173313	4.225949
378	-2535.989	-2756.902	220.9129	1.478202	2.581182	3.957565
384	-2523.657	-2743.285	219.6279	1.318065	2.378009	4.82999
390	-2519.38	-2740.784	221.4043	1.435326	2.06341	3.855582
396	-2523.637	-2746.313	222.6759	1.570297	2.031052	3.043335
402	-2522.42	-2745.031	222.611	1.604831	2.111265	3.034121
408	-2522.165	-2744.901	222.7351	1.688705	2.423232	2.80854
414	-2523.589	-2746.178	222.5887	1.548184	2.303113	3.019
420	-2538.869	-2760.41	221.5407	1.231919	1.945109	3.933787
426	-2531.087	-2750.282	219.1952	1.298219	2.035073	5.184947
432	-2530.679	-2752.749	222.0697	1.628901	2.302972	3.279594
438	-2537.205	-2759.777	222.5726	1.490048	2.302972	3.063454
444	-2523.077	-2743.429	220.3516	1.380061	1.798911	4.57493
450	-2527.116	-2745.944	218.8287	1.247519	1.644013	5.550433
456	-2526.866	-2747.683	220.8166	1.39573	1.644013	4.36185
462	-2526.154	-2746.744	220.5895	1.257263	1.938727	4.461564
468	-2524.026	-2743.742	219.7164	1.27848	1.868663	4.962049
474	-2524.632	-2744.268	219.636	1.223494	2.213648	4.926384
480	-2540.437	-2763.354	222.9171	1.555245	1.769222	3.003733
486	-2543.567	-2766.407	222.8396	1.626402	1.946675	2.941211
492	-2541.036	-2763.439	222.4033	1.626402	2.731314	2.95744
498	-2545.423	-2767.43	222.0065	1.57445	3.122452	3.124433
504	-2537.229	-2759.25	222.0212	1.562964	2.931983	3.170286
510	-2531.17	-2753.251	222.0816	1.513099	2.484019	3.286478
516	-2528.678	-2749.333	220.6558	1.421597	2.207065	4.24477
522	-2540.197	-2760.835	220.6383	1.2796	2.003311	4.399897
528	-2537.201	-2754.96	217.7595	1.2072	1.557176	6.190047
534	-2535.923	-2754.468	218.5454	1.334092	2.213497	5.468614
540	-2542.073	-2760.824	218.7512	1.257953	2.286082	5.375852
546	-2544.086	-2764.855	220.7687	1.162887	2.087	4.364923
552	-2527.053	-2747.792	220.7383	1.375392	1.706909	4.39361
558	-2523.444	-2744.02	220.5765	1.443158	1.853222	4.39361
564	-2526.251	-2746.229	219.9771	1.481683	1.920579	4.685509
570	-2541.161	-2759.279	218.1183	1.512632	1.951154	5.687125
576	-2531.502	-2749.114	217.6114	1.16798	1.951154	6.152172
582	-2520.117	-2740.811	220.6939	1.310504	2.081879	4.325429
588	-2519.358	-2739.813	220.4544	1.345047	2.081879	4.441071
594	-2517.405	-2737.657	220.2515	1.167747	1.779521	4.756825
600	-2534.55	-2754.31	219.7602	1.186596	2.120356	4.906355
606	-2535.223	-2755.115	219.8919	1.161072	1.67208	5.000318
612	-2534.536	-2755.55	221.0135	1.28239	2.082499	4.16002
618	-2537.38	-2757.501	220.1211	1.403659	1.623306	4.756028
624	-2535.812	-2757.513	221.7009	1.332476	1.658323	3.889104
630	-2532.869	-2750.785	217.916	1.258241	1.504075	6.097975
636	-2535.348	-2754.949	219.602	1.067865	1.811223	5.162322
642	-2526.021	-2745.19	219.1697	1.335607	1.923842	5.214807
648	-2532.308	-2750.887	218.5792	1.29783	1.740934	5.624212
654	-2541.39	-2761.576	220.1858	1.270338	2.006661	4.658328
660	-2541.344	-2759.529	218.1852	1.208568	2.265815	5.719941
666	-2534.545	-2754.461	219.9162	1.20045	1.743432	4.938565
672	-2535.06	-2756.829	221.7692	1.367839	1.642632	3.835714
678	-2557.824	-2777.146	219.3222	1.485885	1.907658	5.052514
684	-2527.597	-2746.716	219.1186	1.148611	2.21534	5.254302
690	-2535.795	-2755.459	219.6648	1.248402	1.721689	5.05953
696	-2533.52	-2753.651	220.1313	1.290382	2.06736	4.657939
702	-2532.902	-2753.24	220.3382	1.316434	2.06736	4.527258
708	-2533.17	-2753.73	220.5603	1.316259	2.030565	4.414233
714	-2536.027	-2754.527	218.4999	1.20451	1.813584	5.693254
720	-2527.169	-2746.246	219.0772	1.247072	1.971888	5.298924
726	-2523.836	-2744.136	220.3001	1.462045	1.972032	4.497978
732	-2522.576	-2744.096	221.52	1.494131	1.972032	3.785825
738	-2535.357	-2756.7	221.3425	1.480999	2.371062	3.769013
744	-2520.626	-2742.466	221.8401	1.411372	1.899356	3.674024
750	-2529.259	-2747.713	218.4534	1.626158	1.899356	5.457905
756	-2517.935	-2738.428	220.4938	1.552528	1.700135	4.434171
762	-2530.024	-2750.605	220.5813	1.376215	1.867114	4.423782
768	-2543.514	-2763.844	220.3301	1.440464	2.144491	4.437542
774	-2530.892	-2752.018	221.1259	1.301835	1.969678	4.12231
780	-2531.556	-2750.126	218.5705	1.194056	1.631683	5.726066
786	-2531.192	-2750.387	219.195	1.280434	2.308765	5.111504
792	-2528.107	-2747.785	219.6773	1.185143	2.064224	4.97101
798	-2519.24	-2737.75	218.5104	1.179109	1.927043	5.662943
804	-2525.312	-2744.63	219.3172	1.179109	1.616628	5.329505
810	-2525.473	-2744.168	218.6949	1.193519	3.248735	5.199814
816	-2524.733	-2743.858	219.1248	1.193513	2.412242	5.16906
822	-2532.627	-2751.785	219.1574	1.238579	2.454731	5.114237
828	-2531.709	-2750.981	219.2719	1.268923	2.177607	5.114237
834	-2526.257	-2745.364	219.1069	1.3743	2.288525	5.114237
840	-2520.393	-2741.88	221.4875	1.597748	2.48118	3.585435
846	-2533.4	-2755.69	222.2897	1.585209	1.868734	3.321248
852	-2532.452	-2754.08	221.6274	1.365047	1.868734	3.834292
858	-2530.607	-2750.454	219.847	1.213359	1.983933	4.88685
864	-2534.557	-2752.915	218.3573	1.319753	2.143838	5.600878
870	-2533.381	-2755.584	222.2033	1.473343	2.178112	3.331945
876	-2527.428	-2747.713	220.2847	1.463888	2.162774	4.444239
882	-2524.504	-2745.445	220.9419	1.375783	2.168612	4.120246
888	-2514.264	-2735.308	221.044	1.495419	1.904394	4.081035
894	-2530.049	-2752.137	222.0884	1.495419	2.082672	3.41774
900	-2529.401	-2750.987	221.587	1.64953	2.769123	3.41774
906	-2530.563	-2752.989	222.4259	1.601667	2.035927	3.171913
912	-2539.824	-2760.46	220.6361	1.591935	1.740639	4.316471
918	-2535.886	-2756.583	220.6974	1.420314	2.304107	4.192491
924	-2538.141	-2759.834	221.6937	1.502417	1.700612	3.77917
930	-2553.93	-2776.86	222.9302	1.543256	1.326163	3.193287
936	-2539.446	-2761.538	222.0917	1.586053	2.21815	3.318453
942	-2533.145	-2755.395	222.2505	1.54719	2.050892	3.302766
948	-2530.236	-2751.351	221.1151	1.604821	2.060878	3.92507
954	-2526.996	-2749.934	222.9378	1.669143	1.866631	2.885594
960	-2544.328	-2764.959	220.6302	1.417769	1.75497	4.412898
